number	percentage
0	0.271099
1	0.0976786
2	0.0201731
3	0.0843078
4	0.225044
5	0.0276029
6	0.00561286
7	0.0199208
8	0.0176753
9	0.00666489
10	0.00827472
11	0.0106228
12	0.011562
13	0.0078133
14	0.00942313
15	0.00918934
16	0.00886328
17	0.00912987
18	0.00754055
19	0.00651519
20	0.00820089
21	0.00806554
22	0.00542625
23	0.00566413
24	0.00720218
25	0.00637984
26	0.00459775
27	0.00536267
28	0.00520272
29	0.00467568
30	0.00304944
31	0.00481718
32	0.00446445
33	0.00286283
34	0.00353957
35	0.00295921
36	0.00332219
37	0.0020979
38	0.0027849
39	0.0025019
40	0.00198101
41	0.00247524
42	0.00155241
43	0.00194
44	0.00172877
45	0.00151139
46	0.00142936
47	0.00129606
48	0.00165904
49	0.00130632
50	0.00127351
51	0.00103767
52	0.0012612
53	0.00105408
54	0.000773127
55	0.00117712
56	0.000980251
57	0.000654185
58	0.000803888
59	0.000785432
60	0.000715707
61	0.000645982
62	0.000496278
63	0.000633677
64	0.000463466
65	0.000514735
66	0.000438857
67	0.000477821
68	0.000432705
69	0.000465517
70	0.000424502
71	0.000385538
72	0.000432705
73	0.000379386
74	0.000293255
75	0.000387589
76	0.000381437
77	0.000317864
78	0.000254291
79	0.000295306
80	0.0002789
81	0.000227632
82	0.000262494
83	0.000229682
84	0.000287103
85	0.000207124
86	0.000239936
87	0.000198921
88	0.000213276
89	0.000205074
90	0.00016816
91	0.000192769
92	0.000157907
93	0.000135349
94	0.000172262
95	0.000114841
96	0.000127146
97	0.000104587
98	0.000123044
99	9.02324e-05
100	0.000114841
101	9.63846e-05
102	0.000135349
103	8.81816e-05
104	7.99787e-05
105	7.17757e-05
106	9.84353e-05
107	9.43338e-05
108	4.71669e-05
109	5.94713e-05
110	6.9725e-05
111	4.92176e-05
112	7.99787e-05
113	7.38265e-05
114	7.38265e-05
115	6.9725e-05
116	4.51162e-05
117	7.38265e-05
118	4.51162e-05
119	5.74206e-05
120	7.38265e-05
121	3.28118e-05
122	4.71669e-05
123	2.66596e-05
124	4.92176e-05
125	5.33191e-05
126	4.30654e-05
127	5.53699e-05
128	3.8964e-05
129	3.69132e-05
130	5.74206e-05
131	3.48625e-05
132	4.30654e-05
133	2.46088e-05
134	3.69132e-05
135	2.46088e-05
136	3.0761e-05
137	3.0761e-05
138	1.23044e-05
139	1.02537e-05
140	1.64059e-05
141	1.64059e-05
142	8.20294e-06
143	6.15221e-06
144	6.15221e-06
145	1.43551e-05
146	1.84566e-05
147	1.02537e-05
148	1.84566e-05
149	1.84566e-05
150	2.05074e-05
151	6.15221e-06
152	6.15221e-06
153	6.15221e-06
154	8.20294e-06
155	1.23044e-05
156	4.10147e-06
157	6.15221e-06
158	1.02537e-05
159	1.43551e-05
160	1.23044e-05
161	8.20294e-06
162	1.84566e-05
163	1.23044e-05
164	6.15221e-06
165	1.23044e-05
166	8.20294e-06
167	8.20294e-06
168	1.23044e-05
169	1.23044e-05
170	1.02537e-05
171	4.10147e-06
172	1.23044e-05
173	4.10147e-06
174	4.10147e-06
175	1.02537e-05
176	6.15221e-06
177	8.20294e-06
178	0
179	1.23044e-05
180	4.10147e-06
181	4.10147e-06
182	8.20294e-06
183	1.02537e-05
184	6.15221e-06
185	8.20294e-06
186	4.10147e-06
187	1.23044e-05
188	2.05074e-06
189	8.20294e-06
190	4.10147e-06
191	1.02537e-05
192	6.15221e-06
193	6.15221e-06
194	8.20294e-06
195	2.05074e-06
196	6.15221e-06
197	4.10147e-06
198	8.20294e-06
199	0
200	6.15221e-06
201	8.20294e-06
202	4.10147e-06
203	4.10147e-06
204	4.10147e-06
205	6.15221e-06
206	2.05074e-06
